ID,Text,Sub-task A,Sub-task B,Label
C4.2210.1,What is this book about?,NAG,NGEN,0
C33.337,That'S NOT GOOD,NAG,NGEN,0
C10.720,This idiot is giving ideas to loose citizenship,NAG,NGEN,0
C4.408,You give so much of negative vibe,NAG,NGEN,0
C33.264,Nice🤣🤣🤣,NAG,NGEN,0
C10.43,the moderator sucked. Incompetent,NAG,NGEN,0
C7.1874,[14:28](https://www.youtube.com/watch?v=J2J5ssSP5yQ&t=14m28s) 😂😂😂😂,NAG,NGEN,0
C10.32,"Arnab please stop crying please give them appropriate time to speak, don't
take more then 4 debaters. I am completely agree with you that such people are
demolishing Indian history we must expose them",NAG,NGEN,0
C7.520,"i completely with with you bro.  
i really loved the movie.",NAG,NGEN,0
C45.651.3,@Subhra Halder tech talk,NAG,NGEN,0
C4.103,"Writing this comment at
[8:36](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=8m36s) so I don't know if
you'll say what I want to say but I can't stop myself commenting this that the
dashing and attractive look of shahid is shown in the movie which makes youth
think that they'll still manage to have that attractiveness ( Thick looking
beard, good hairs, those muscles and overall personality) in them even after
abusing drugs is so fake. And in reality if people start abusing drugs than
they'll become so unattractive bcoz reality will slap them so hardly and those
drugs would make you go bald, loose those muscles, loose ur charm, loose ur
social life, make you a failure in ur career and you won't even get that
respect as Kabir singh got in the movie)  
Follow shahid kapoor not Kabir singh and to add to this statement I've to say
Shahid kapoor went to gym and was on good diet for the role of Kabir singh so
understand the difference of reel life and real life of the actors",NAG,NGEN,0
C45.499,Part 2 please,NAG,NGEN,0
C25.557,"i forwarded everything, that old woman said . . . .",NAG,NGEN,0
C10.304.1,Haha,NAG,NGEN,0
C4.1182,I always like your point of views brother.,NAG,NGEN,0
C4.1368,Bitter truth....,NAG,NGEN,0
C4.1874,I totally agree with you sir,NAG,NGEN,0
C4.1813.1,"@Trixie Girll right, i just found that wrong, talk abouth positive also
shwetabh",NAG,NGEN,0
C4.464,I always thought bollywood sexim industry.,NAG,NGEN,0
C33.24,No word🤣🤣,NAG,NGEN,0
C7.2451.5,he is much more mature than any critic. but sometime he disappoints,NAG,NGEN,0
C33.490,"Thanx for uploading a nice [video.im](http://video.im/) a gay and im proud of
what i am no one has rights to judge us we all have equal rights whoever born
in this world .After all we all live only once .one life less enjoyments and
secret emotions.",NAG,NGEN,0
C65.54,"Bro and sister corector of lifestyle must be kept like human rightly one day
every human well face with angle of death the malakkuulmoouuth then everything
you see in your eye your beautiful face we'll darkness recording be careful
with it behaviour count",NAG,NGEN,0
C7.1169,I support u in ur war vd fake feminists,NAG,NGEN,0
C33.89,I'm girl I'm lesbian I love zoonish,NAG,NGEN,0
C4.394,"Bro finally I found a man talking sense about KABIR SINGH. Rest of the people
are admiring this movie under peer pressure from the lesser intelligent
masses. Dil khush kar diya tumne bhai.. :)",NAG,NGEN,0
C4.1461,I have same yellow bottle of cello 😍😍,NAG,NGEN,0
C4.918,238 dislikes from girls,NAG,NGEN,0
C7.2301.1,Same bro,NAG,NGEN,0
C57.31,Subhoshree luks so ugly,NAG,NGEN,0
C4.2202,It's been a long time!😊,NAG,NGEN,0
C26.142,That guy is AWESOME !!!!😚😚,NAG,NGEN,0
C7.1502,"Sir I have not started the video yet but I know you will be right and I also
know what u are going to say so thank u for not caring about subs and likes
but more about our beloved India  
Jai hind",NAG,NGEN,0
C4.1979,"🔥 YOU'RE AN ABSOLUTE GENIUS MAN..  
no one other' than you could review better at this level. You' are a Pro that
INDIA deserves...",NAG,NGEN,0
C68.244,Nice video Bhi,NAG,NGEN,0
C59.1636,It's true,NAG,NGEN,0
C63.163.1,"<https://goo.gl/search/Weather>
⛅️ It's 17°C in Dhaka",NAG,NGEN,0
C4.2129.2,"haha  
Think deeply, go deep, then you will understand what I am saying before
calling me dumb.  
Think about it. Then you will call yourself dumb.  
Each and every industry has an obligation to build our nation.",NAG,NGEN,0
C4.1992,I made a right choice by watching Super 30 than Kabir Singh,NAG,NGEN,0
C57.66.2,hi.... moni,NAG,NGEN,0
C33.550,Very Nice Vids Bro's👌👍,NAG,NGEN,0
C7.2473,Awesome t-shirt!!,NAG,NGEN,0
C4.834,video starts at [7:40](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=7m40s),NAG,NGEN,0
C38.640,"I think very less people know about it..so I would like to share regarding
this topic...  
actually homosexuality is a genetic (hormone receptor)related disorder which
is natural and in a population about 0.1 % people are homosexuals and there is
no point in opposing it based on culture or society... people should be broad
minded and they should have courage to accept the reality then only they can
view a right thing in right manner...",NAG,GEN,0
C7.1455,"I think they were expecting movie on ""Saint Kabir"" not on ""Kabir Singh"".😂😂😂",NAG,NGEN,0
C7.2431,Thanks bhai you explain very well.I am fed up with these feminists.,NAG,NGEN,0
C7.893,Why your beard is half trimmed on one side 😑😑,NAG,NGEN,0
C26.104,Good action,NAG,NGEN,0
C10.107,"Of course she is afraid of showing documents that people will know that she is
Suzanne and not Arundhati. It's like story of cat who lost its tail and
preaching other cats to cut their tails. (People who bark that she is not
Suzanne ask her to show her documents 😛)",NAG,NGEN,0
