ID,Text,Sub-task A,Sub-task B,Label
C7.931,Bhai yaar aapne pefect tarike se explained kiya hay love your review 😘,NAG,NGEN,0
C7.1201.5,@shivam kavitkar aise logon ko jaane hi diya jaye to behtar hai 😂😂😂,NAG,NGEN,0
C4.171,"Bollywood se call aaya toh btana bhai pura community movie dekna hi bnd kr
dega..bs aise kadwa sach bolte rhna bhai ji jiski bht jrurt h yuva logo ko..",NAG,NGEN,0
C7.2396,tu bahut sahi cheez hain yarr .. love uh bro,NAG,NGEN,0
C7.1460,"Dog ka naam preety rakha tha uske liye bhi bawal kar rahe hain, twitter pe.",NAG,NGEN,0
C58.13,English mein answer,NAG,NGEN,0
C26.230,is bande ne bilkul sahi kiaa hai !!!!!,NAG,NGEN,0
C26.128,"Ladies ke jhute dahej ke case se peedit boys soucide na karen jahangeer ki
tarah aisey ladies ki family ko sabak sikhain",NAG,NGEN,0
C25.478,"is act se bhut si families problem m h plz government change the rule
plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz",NAG,NGEN,0
C36.491,"Homosexual k bare mai hame kuch khash ni pta h or jitna v dekhe h wo reality
show mai dekh h jo kvi v army ki requirements puri ni kr payegi..",NAG,NGEN,0
C36.575,Sir December ka magazine provide Kara dijiye...,NAG,NGEN,0
C7.1750.1,"Maine video ki ending me jo baat Kahi hai vo suniye... Galat to bahot sari
bate ho Rahi hai...  
hamare Desh me to har dusri tisri film me Criminals & Terrorists Ko glorify
Kiya jata hai... Kya kar sakte hai ?",NAG,NGEN,0
C7.1894,"Bhai honestly aja jara apka video achcha lagrah hai nachrul lights se app bhi
achche dik rahe ho",NAG,NGEN,0
C59.1461,Dill se boss,NAG,NGEN,0
C7.2549,Spoiler warning toh deni thi😜😜😜,NAG,NGEN,0
C7.30,Tum jaise log satee pratha ko bhi support kar sakte ho,NAG,NGEN,0
C38.750,"ek baar mere papa nai kha tha khtm kr dunga...maine sunaya unhe ek sweet chin
music...",NAG,NGEN,0
C32.100.3,क्या आप मुझसे दोस्ती करोगे,NAG,NGEN,0
C19.10,"Aise faltu reviewer wale channel me bhi itne subscriber ?? Omg ! Acche talent
subscribers dhud rahe hai like dino james , salil jamdar etc ...",NAG,NGEN,0
C38.475,Auto wale bhaiya :),NAG,NGEN,0
C19.154.3,"Rachna Mishra बवाल तो मैं कर सकता था लेकिन उस के पिताजी ने मुझे कहाँ कीं मेरी
समाज में नाक कट जाएगी मेरी बेज्जती मत करवा देना ? उसके पिताजी के कारण मैंने
अपने क़दम पीछे हटा लिए 😢😢😢",NAG,NGEN,0
C36.636,"Sir,  
Gaurav sir ki current affairs Dailly bases par ku nahi aa rahe hai???",NAG,NGEN,0
C21.203,Subtext ka bhut acha use kiya hai ishe film mei,NAG,NGEN,0
C7.356,Tshirt Badhiya hai Bhai😀,NAG,NGEN,0
C7.2249,T shirts khab badli karoge,NAG,NGEN,0
C7.1761,Aaj tumne muh tod jawaab diya hypocrites ko. Well done 👍,NAG,NGEN,0
C21.42,Apne story bata kar puri story batadi,NAG,NGEN,0
C7.694,Kya ap ki left gaal main dari jyada hai yah mera phone ki screen kharap hai!,NAG,NGEN,0
C4.1669,Chutiya movie tha yar maine dekhne k baad laga k yar ky dekhliya maine.,NAG,NGEN,0
C4.859,"Is film ko sex drug or drink ne hit kiya ,same sanju ki trha...",NAG,NGEN,0
C21.79,Mast movie hai,NAG,NGEN,0
C4.1620,"Kio hai jisne nahi dekhi yeh bakwas movie meri tarah..  
Jisko pehle hee pata tha yeh bakwas hone wali hai..  
Yeh movie phir humko wapas piche leke ja rahi hai..",NAG,NGEN,0
C7.1811,Pratik ji Ram Ram.🙏🙏🙏🙏,NAG,NGEN,0
C21.171,"sir ji please hamari cavery nadi ko support kariye cavery calling ke jariye
jise khud prakash javdekar ji ne bhi support kiya hai",NAG,NGEN,0
C33.136,Lazabab,NAG,NGEN,0
C33.252,"Mere jindagi bus tere intazaam ke liye hai khud ke kadam mere liye bhi khud me
koi kayamiaat batiyie hogi dil se dil ka connection kiske saath hOAG",NAG,NGEN,0
C19.184.1,@Nikunj Singh Oh acha,NAG,NGEN,0
C59.219,বা: মেরেসের বা:,NAG,NGEN,0
C4.2192,Bhut din se kabir singh ka aapka review dekhna chahta tha,NAG,NGEN,0
C7.72,"Mujhe bahoot achhi lagi kabir singh,",NAG,NGEN,0
C4.2229.2,Kya ukhad liya tune ise dekhkar??,NAG,NGEN,0
C38.577,kele se kele takrae....,NAG,NGEN,0
C9.293,boliye nitishba ko ki paper leak kaise huaa,NAG,NGEN,0
C4.396.2,Sahi kaha Bhai😁😂,NAG,NGEN,0
C7.2441.1,True bhai 🙁👍,NAG,NGEN,0
C7.1257,"Sir [real.love](http://real.love/) nhi smjynge ....y log ..film ..film
to.dhansu h .esa man to.ajkl.nhi h",NAG,NGEN,0
C4.857.1,Ye londa kuchh jyada horaha he ..,NAG,NGEN,0
C4.960.3,"@Sneha sharma haan, mujhe video yaad h, lekin unke naam nhi pata.",NAG,NGEN,0
C46.65,Sooryavansham,NAG,NGEN,0
C7.2514.1,Hi kaise ho aap,NAG,NGEN,0
C4.1637,Bhai Bhai bhai Bhai,NAG,NGEN,0
C33.271,"Video n message was gud but girl. Ki voice ka sound bohat hi down tha not like
bold 1...... Otherwise its gud 1",NAG,NGEN,0
C4.1163,"Ladki Mya laadkako dkh liya khtam Bhai
khtam..[8:13](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=8m13s) haha",NAG,NGEN,0
C7.293,"Pratik Bhai ""urvashi "" song to kabir singh ke liye shoot hua tha par ab song
movie me kyu nhi aaya .",NAG,NGEN,0
C7.2548,"Pratik sir aap long video mt banao  
Dekhne me interest nhi aata",NAG,NGEN,0
C7.559.1,"@Aakash kale kya real life me drugs,sharab chodna itna asan hota hai??  
Movie me tho woh bahut asanai se sab kucch chod deta hai.....  
Ending sad rakhte tho yeh sab kucch justify hota",NAG,NGEN,0
C32.159,Bus aaplogo ka support chaie hamari mehnat ka fal aap logo hi dege 🙏,NAG,NGEN,0
C9.286,"जनता - मोदी जी GDP गिर चुकी है  
मोदी - मित्रों जिसकी होगी वह खुद ही उठा लेगा  
भक्त - वाह मोदी जी वाह क्या बात कही आपने",NAG,NGEN,0
C4.643,"Lagta hai iske paas paise nahi the Hall mein movie dekhne ke... Jab movie TV
pe release ho gayi tab aaya hai analysis leke..",NAG,NGEN,0
C32.150,"क्या खूब ऐक्टिंग की है चंदू सच मे कोई बड़ा रोल मिलगया उसदिन धमाल मच जाएगा ।  
जानदार शानदार एक्टिंग चंदू सो सुपर",NAG,NGEN,0
C32.130.2,Mujhse dosti karna hai call karo phone rate mera number kahan se ho6393830912,NAG,NGEN,0
C4.702.5,Ye tum meme se padh ke aye ho hero mt bno,NAG,NGEN,0
C4.1336,Kutte ki tarah pyaar sahi kaha 😂😂,NAG,NGEN,0
C59.69,Jio Vai😃😃😃😃😃,NAG,NGEN,0
C7.1331,awosome dil Jeet liya aapne,NAG,NGEN,0
C7.1584,bhai dara ka konsa pyar hota h,NAG,NGEN,0
C7.2395,Ohhh bhai TRP mil gai...,NAG,NGEN,0
C7.558,"sahi bola bilkul, par yeh bhi h movie m pretti bhi dumbo thi bilkul matlb apna
khud karna h kuch usse ya nahi😂 jo kare bechara oabir hi kare",NAG,NGEN,0
C45.710,भाई हिन्दी में बात करो,NAG,NGEN,0
C32.107.1,@Ali Khan 😡😡😡,NAG,NGEN,0
C26.117,"498 a का झूठा केश का धंधा बंद कानून नहिं कर सकता  
इसी तरह खुद में भरोसा और कोसिस बरकरार रखना पड़ेगा",NAG,NGEN,0
C10.258,नपुर,NAG,NGEN,0
