ID,Text,Sub-task A,Sub-task B,Label
C33.352,Feel sorry for boys.... 😢😢😢😢😢😢,NAG,NGEN,0
C33.578,"I like her voice, it's sexy. No homo...",NAG,NGEN,0
C10.24,She really have Randy look.,NAG,GEN,0
C10.30,Why the govt is allowing her to spread hatred against India ?,NAG,NGEN,0
C59.2346,wow.....👍👍👍👍👍👍👍 good,NAG,NGEN,0
C4.1999,"Plz make "" Joker movie "" review ..sir",NAG,NGEN,0
C7.1578,I feel you bro... 🙇,NAG,NGEN,0
C7.32,"Now watch shwetabh Gangwar's analysis about Kabir singh. Your review seems
comedy infront of him.",NAG,NGEN,0
C59.1102.1,Fav comment off the week😂😂🤣🤣😂😂😂🤣🤣😂😂😂🤣😂🤣🤣🤣😂🤣🤣😂🤣🤣😂🤣🤣,NAG,NGEN,0
C26.258.1,M HAPPY,NAG,NGEN,0
C10.411,Dogs,NAG,NGEN,0
C10.568,"Do the evil doers know that it reflects on their face?? Jai Bharatvarsh ! Jai
BJP!",NAG,NGEN,0
C4.2174.5,@Jagdish Jena well you did,NAG,NGEN,0
C4.2229.5,"I just heard a bit and I really like the logic.
Is there any way can we work together! It would be awesome.",NAG,NGEN,0
C4.286,"Till the climax Arjun Reddy goes as if it was going to show the real
consiquences of toxic masculinity and forced love. Its has many real elements
of upper caste elitism, stalhome syndrome and self distructive tendencies. But
in end it goes on to dump the whole setup in dump and heads for a typical
bollywood style fairytail ending.",NAG,NGEN,0
C4.53,RX 100 movie par ek analysis please,NAG,NGEN,0
C59.1632,Akdom right bro.sallut👏👏👏👏👏🤘🤘🤘,NAG,NGEN,0
C7.2152,Nailed it brother ✌,NAG,NGEN,0
C4.1728,"The Review we knew we needed,  
But not the review we did not deserve!!!  
Coz the Mensutras do have cultivated the rationale against Bollywood!!!🙃",NAG,NGEN,0
C7.629,Salute for your honestly brother! Raise the voice!,NAG,NGEN,0
C4.1716,You deserves bohot kuch sir..Hats off😌😌😌,NAG,NGEN,0
C32.64,I want top guys interest ppls call me 9502048332,NAG,NGEN,0
C33.382,proud of you!! And Proud to be a part of LGBTQA+ :),NAG,NGEN,0
C33.300,Awsm girls😘😘😘😘,NAG,NGEN,0
C4.184,please put english subtitles.,NAG,NGEN,0
C68.1203,No👍 😜,NAG,NGEN,0
