ID,Text,Sub-task A,Sub-task B,Label
C36.274,"Very good... throw out these homosexuals out of India... bloody rouge.. bloody
SC deteriorating Indian culture... bann the SC first... bloody old gay
judges...",NAG,GEN,0
C7.1903,"I appreciate what you are saying.I will always support you  
  
  
  
whatever it takes",NAG,NGEN,0
C26.17,good job jahangir,NAG,NGEN,0
C45.497,that's is rong yarr,NAG,NGEN,0
C10.696,SUSSANE arundhati roy,NAG,NGEN,0
C4.2210,"if you reading this comment So I want to suggest you a book named ""Incognito
written by david eagleman""
its really great book you wont regreat reading it",NAG,NGEN,0
C7.1427,Thanku sir.... You're awesome,NAG,NGEN,0
C10.777,"Ms.Roy should have been arrested immediately when she is enticing people in
the public.",NAG,NGEN,0
C4.1468,"Check the news:  
A guy from TikTok name Ashwani Kumar murdered a flight attendant he was
obsessed with. He was uploading villain clips on social media imitating Kabir
Singh.",NAG,NGEN,0
C4.1558,"Exactly bro...... you are absolutely right. I am with your thoughts. Please
keep posting these kinda videos really appreciate your work",NAG,NGEN,0
C63.128,Nice vedio,NAG,NGEN,0
C68.1312,"You are absolutely right dada,",NAG,NGEN,0
C4.1585,Review Joker bro,NAG,NGEN,0
C7.1913.1,scary tube lol 🤣🤣🤣,NAG,NGEN,0
C44.262.2,@Anindita Maity nice sister... you are right,NAG,NGEN,0
C33.539.2,@Its chakshank wlcm❤,NAG,NGEN,0
C33.574.2,"Even lgbt people have their own standards lol ...I'm gay but you will never
find me drooling over boys in public for mere pleasure... And also I have a
type.",NAG,NGEN,0
C4.1208.2,You really want to spoil such masterpieces?,NAG,NGEN,0
C33.243,I. like you very nice,NAG,NGEN,0
C47.23,Media and public Bengali film land of women public television series is a good,NAG,NGEN,0
C4.1083,"Real man is someone who has purpose in his life. Purpose makes our lives
meaningful.",NAG,NGEN,0
C59.2197,Nice Bro,NAG,NGEN,0
C4.2267,Your biggest ac,NAG,NGEN,0
C7.1290,"I love you brother for saying this on this platform. I completely agree with
your thoughts.",NAG,NGEN,0
C7.2190,Super!!,NAG,NGEN,0
C68.299,Your right my friend,NAG,NGEN,0
C59.253,U are right,NAG,NGEN,0
C26.304.1,Great job jahangir bhai,NAG,NGEN,0
C62.374,Nice apu didi,NAG,NGEN,0
C55.144.2,Hmm,NAG,NGEN,0
C7.2513,"From the depth of my Heart i like the way you observe things and share your
point of views... this is my first comment please sir give Heart ☺",NAG,NGEN,0
C32.21.2,@Amritpal Singh yes,NAG,NGEN,0
C4.1704,Bollywood lionize shit,NAG,NGEN,0
C4.1164,U r true bhaii,NAG,NGEN,0
C45.462,nice,NAG,NGEN,0
C58.17,Yes you are right,NAG,NGEN,0
C4.1374,Brother point is totally good 👌👍👍👍,NAG,NGEN,0
C59.136,Good job,NAG,NGEN,0
C4.2067,Spoiler alert at [3:30](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=3m30s),NAG,NGEN,0
C68.705,Good bai,NAG,NGEN,0
C7.1341,Right ...you are right absolutely .a huge respect 🔥,NAG,NGEN,0
C7.2057,RX100 MOVIE REVIEW,NAG,NGEN,0
C7.771,As ultimate GPS,NAG,NGEN,0
C26.294,"He is hero for all those who is suffering from false claim charged by women to
their husband and their in law. Show this case to government than they will
realised that the law they made for justice is leading toward blood &
violence.",NAG,NGEN,0
C7.495,Kabir Singh my favourite 🔼🔼,NAG,NGEN,0
C59.427,10 inch mouth haaaaa,NAG,NGEN,0
C33.389,"Am also lesbian...  
Who is single....  
I want a girlfriend soo much....",NAG,NGEN,0
C7.1302,"Please give a spoiler talk on Dark Knight do you watch The Dark Knight and you
also like Heath Ledger as acting as Joker",NAG,NGEN,0
C10.226,"Madam Arundhati Roy go to Kapil Sharma show, insensible incompetence politics
.",NAG,NGEN,0
C33.534.4,#NAME?,NAG,NGEN,0
C58.478,Thanks you apu,NAG,NGEN,0
C7.1417,Real and best review on YouTube,NAG,NGEN,0
C4.2163,"Who else didnt even considered watching kabir singh after watching its trailer
???",NAG,NGEN,0
C26.151,Real hero,NAG,NGEN,0
C4.927,This movie was copied . copycat Bollywood,NAG,NGEN,0
C33.254.1,Good OK,NAG,NGEN,0
C4.1055.2,Me to bro people do think that we guys don't have movie sense,NAG,NGEN,0
C47.139.1,Akdam thik bolechen dada.,NAG,NGEN,0
C7.1439,"<https://youtu.be/C-lRyevxevA>  
  
  
Is review ka rply do plzz  
Must needed 🔥😤",NAG,NGEN,0
C7.2598,Sir plz like my comment,NAG,NGEN,0
C59.168,Super boss😎😎,NAG,NGEN,0
C4.302,"It would be great if you could regularly share some books/movies/short films
that are constructive in nature, some or other ways of entertainment.
I remember you starting a book club, 'Homo Sapiens' was the book, we need some
more initiatives like that.
Much love, support and respect like always!",NAG,NGEN,0
C33.755,best of luck 2018,NAG,NGEN,0
C10.312,Arundhati Roy is a disgrace to India.It's sad.,NAG,NGEN,0
C4.1435,"Shwetabh, i would really like to hear your thoughts on joker. It will be
really great if you come up with that.",NAG,NGEN,0
C4.194,"As doctor,i realized to work on my physique and stay fit,thats what i got from
it,rest is bullshit",NAG,NGEN,0
C4.1953,So basically kabir singh is tere naam' s radhe on drugs,NAG,NGEN,0
C59.359,Wonderful videoooo I like it,NAG,NGEN,0
C4.1676,Love metal 🤘,NAG,NGEN,0
C4.959,"A medico here ! 10 hours daily study is must to pass annual exams in MBBS
atleast .",NAG,NGEN,0
C7.1919,Best review bro keep it up.,NAG,NGEN,0
C7.2428,Great work sir 👌👌,NAG,NGEN,0
C45.569.3,My WhatsApp and imo number is+96565897567,NAG,NGEN,0
C59.430,Nice bro 👌👌👍👍,NAG,NGEN,0
C59.1182,Right boss,NAG,NGEN,0
C33.735,nyc video,NAG,NGEN,0
C33.389.1,Yeah...,NAG,NGEN,0
C7.739,"I agree with a lot of what you said. But a lot of things didnt make any sense,
like the way the love develops felt artificial and forced, and not
organically. Really not about feminism or misogynist, the movie as such didnt
make much sense.",NAG,NGEN,0
C4.1955,Finally someone said it! Thank you mensutra for this video👍👏👏👏,NAG,NGEN,0
C4.1910,How about joker!??? Please review it😇,NAG,NGEN,0
C4.352.1,Exactly! I completely agree,NAG,NGEN,0
C63.206.3,Hahaha,NAG,NGEN,0
C7.226,Plsssss make a review on Tamil movie Romeo Juliet,NAG,NGEN,0
C10.477,If get right answers then Arnab saying ayk minute or one minute,NAG,NGEN,0
C7.494,A very good answer to all the pseudo liberals Nd pseudo feminists 👏🏻👏🏻,NAG,NGEN,0
C65.457.1,@Film Mart think you,NAG,NGEN,0
C7.2417.5,Share dis to evryone..,NAG,NGEN,0
C38.567,"no one is homosexual by birth, their is no scientific or genetic proof. :) it
arises when people get tired of the natural process. And this is basically
because of the arising pornography and vulgarity that is openly viewed and
displayed and majority are prone to it so when they grow tired of the nature,
they tend to find pleasure in something that goes against nature. So we need
to support good and decent content on media and promote early marriages to
abstain from this taboo. And ofcourse this homosexuality is a sign of the day
of judgement as we Muslims believe so we need to seek forgiveness and thank
Allah for His blessings.
[#freedomofspeech](http://www.youtube.com/results?search_query=%23freedomofspeech)
:) good day",NAG,GEN,0
C68.20,Be🙏,NAG,NGEN,0
C7.1132,"true review about film and fake librals too.. prateek sir.keep it up the same
honesty.",NAG,NGEN,0
C4.141,"You had me at "" ad hominem"".  
  
Saw some good content after a long time!  
  
Good job.",NAG,NGEN,0
C4.2195.4,@Ritwik Sinha perfect 😂,NAG,NGEN,0
C59.1827,Epic🔥😂,NAG,NGEN,0
C68.344,Absolutely right.,NAG,NGEN,0
C68.712.3,Agree with u,NAG,NGEN,0
C7.1572,Well said bro ! Keep it up,NAG,NGEN,0
C32.81,"Please don't put gay people in bad light. Even i am gay and i am proud of
myself but that doesn't mean that i will kill others for the sake of my
happiness.",NAG,NGEN,0
C4.2038,"Hit like if you want shwetabh Bhai to give review of all major Bollywood
movies releasing so as to give youths a right direction",NAG,NGEN,0
C36.1014,"Army chief is correct and gays should never be allowed in arm forces. Itna hi
Sauk he to sare chakke ghar pe pubg khelo.",NAG,GEN,0
C7.1125,"U said true bro  
This talk is to. Most of the fanpages on social media",NAG,NGEN,0
C10.205,"The country, where intellectuals like Arundhati Roy are not respected , it is
bound to be degrade...She is far intelligent than these hired criminal
journalist...  
I will slap out those who will come to my house regarding NPR.  
They have already adhaar card and NSSO organisation for carrying out social
survey. Actually NPR is a sin in the garb of showing it as a some kind of
social survey...BJP decline has started and soon we will witness it's free
fall",NAG,NGEN,0
C36.819,"3 case can happen, (a) if gay is that high rank officers then new people can
be forcely asked for sex for promotion, leave , transfer , financial or other
benefit, (2) if everybody know that someone is gay , their group will
discriminate him or normal friend of him can be seen the same way, and other
group will make fun of that group. Indians are not so mature enough to deal
with that situation are generally countryside people join defennce that is
ugly truth. (C) gAy couple will have emotional attachment and will never take
harsh step in critical condition, they will not have same aggression they will
become defensive they will be interested in long living with their partners.",NAG,GEN,0
C4.117.1,"Feminism is socioeconomic equality... No one should rape anyone. How bizzare
is that. Feminism is about having equal opportunity and responsibility",NAG,NGEN,0
C4.946,Correct i am fully agree with you,NAG,NGEN,0
C46.92,"So saddd... Today I'm clear about this case ......
Tq director of police file for make this episode",NAG,NGEN,0
C7.1456,"Thank you for making this video brother I was waiting for this review .I
didnot watch this movie but i saw few review on youtube where as you said they
are juding the kabir singh character .At one point i even agreed at few points
bcz in the songs two scenes i too dislike yes i agree but after watching your
video now i understood and out of this confusion ☺.Hope you make more such
videos in future",NAG,NGEN,0
C7.93.2,@Pratik Borade <https://youtu.be/3qD3Sf6Jp2o>,NAG,NGEN,0
C33.778.3,"Ajay Kumar Gupta ase bhi India is d second most populated country in d
world..for your kind information 😑...n yeah love doesn't see anything...I am
straight..but I support LGBT...",NAG,NGEN,0
C63.120,[1:33](https://www.youtube.com/watch?v=jpxULgfrT0k&t=1m33s) GTA V,NAG,NGEN,0
