ID,Text,Sub-task A,Sub-task B,Label
C36.880,Sir cgpsc ka current affairs bnaeye,NAG,NGEN,0
C4.309,Jai Shree Ram 🙏🇮🇳🙏,NAG,NGEN,0
C59.1248,Jio brro,NAG,NGEN,0
C4.576,Aap movies mat dekho,NAG,NGEN,0
C21.172,Aap aapke review videos ese choti length ke hi banaya karo,NAG,NGEN,0
C36.694.2,physically check karke hi lete hain unko gay log hote hi nahi hain,NAG,NGEN,0
C38.624,faltu....,NAG,NGEN,0
C36.413,"SAHI HAI, AGAR HUME WORLD K SAATH AAGE BADHNA HAI. TO KANOON B WORLD KI TRAH
BUNANE HONGE . HUME PHYSICAL STRENGTH OR DESHBAKTI CHAHIYE. PERSONAL LIFE SE
MATLAB NAHI RAKHNA CHAHIYE.",NAG,NGEN,0
C4.316,Bhaiya tumhari batein dimag mein ghus ke sochne pe mazboor kar deti hain.,NAG,NGEN,0
C45.345,Hi Karte Ho video dikhao,NAG,NGEN,0
C59.1321,Jio Boss,NAG,NGEN,0
C7.1540,"Bhai app sensor board ka member thodi hoo,Gyan mat do review karo",NAG,NGEN,0
C7.295,Kabir Singh Movie dekhni hai link <https://youtu.be/i9QCYiTlBmU>,NAG,NGEN,0
C7.357.1,pallavi shahdeo hmmm,NAG,NGEN,0
C7.420.5,@Shubham Bodade aur tu kabir singh dekh karr ganjedi bann ja,NAG,NGEN,0
C26.244,Judge ko v lapet lena chahea tha,NAG,NGEN,0
C4.2213,"Kabir.....jesa imagine kia tha maine already....  
Lag raha tha kabir singh pe bhi bhai kuch bolenge",NAG,NGEN,0
C4.1858,Maine movie dekhi nahi...par review dekh lar laga ki accha hua nahi dekhi 😂😂,NAG,NGEN,0
C43.165.2,"@kamal ranjan are bhai Maine bhi toh wo hi kha wo ""not in public means"" public
mein nhi karenge jaise pahle private mein karte the waise hi karenge Lekin ab
woh sabke samne apna relationship Ko accept kar pyenge 🙏🙏 faltu mein kyu daant
rhe ho 😁",NAG,NGEN,0
C7.2377,Bigil k poster ka bhi review krna sir,NAG,NGEN,0
C19.184.3,Bekar h kya movie ?,NAG,NGEN,0
C7.1150,मैं तो सिर्फ साउथ की फ़िल्म देखता हूँ या हॉलीवुड,NAG,NGEN,0
C7.2187.1,"MAIN POINT YEH HAI KI .... KABIR SINGH ANGRY PASSIONATE ZIDDIII INSAAN HAI...
.... USKO JAB GUSSA ATA HAI TAB MEN WOMEN KUCH NEHI DIKHTA HAI....",NAG,NGEN,0
