ID,Text,Sub-task A,Sub-task B,Label
C45.451,Next part,NAG,NGEN,0
C47.11,"Iii8mllllllm
Mdxfvb8o90lplppi0005",NAG,NGEN,0
C33.79,🤣🤣😂😂🤣🤣🤣😂osm vedio ....keep it up...make more vedios like this,NAG,NGEN,0
C4.1961,"What the fuck was this? I respect shwetabh and i have been watching his videos
for quite a long time but this review was shit. Nobody wants to watch the
movie for reality or blah. You dont watch movies for inspiration you would
rather read books and biographies. Yes its true that some people are getting
influenced and doing all shitty fuckery but just think. Anyone who takes this
movie seriouslyis already a chutiya. And you dont go to theatre in india for
some reality shit and if u really seek reality and logical scripts and
characters without plotholes and all then you wouldnt be watching kabir singh.
So I think you just made this for views,  
cause theres no need for this so called raw review. And one thing you acted
like u forgot the movie name like seriously you know the whole story and you
pronounced this overhyped mess wrongly? Oh common!!!😂",NAG,NGEN,0
C10.153,"Concerned authorities should bring arundathi Roy and other these type of
people before the law of the land.for giving anti national statements",NAG,NGEN,0
C10.761,"It seems like these people want to be famous nothing more they don't care if
people die by their hateful talks.",NAG,NGEN,0
C25.6,Best topic for Law Students !,NAG,NGEN,0
C10.152.1,She is wrong .,NAG,NGEN,0
C45.217,6001733614,NAG,NGEN,0
C63.126,Hindi old muvi,NAG,NGEN,0
C67.24,rait,NAG,NGEN,0
C7.1601,"Very well said dude, totally agree.",NAG,NGEN,0
C59.1096,👌👌👌👌👌right,NAG,NGEN,0
C4.2264,Our Role Model - Shwetabh > Kabir ❤️,NAG,NGEN,0
C7.15.4,"@usher luck well i am from haryana. A small city called hisar. You can give me
your number if u want but frankly i will not give you mine. I would like you
as a friend. If you would like we can chat on facebook though",NAG,NGEN,0
C10.353,she best arbitrator in kamatipura & sonargachi area settlements,NAG,NGEN,0
C4.2138.1,Yeah man **Fuck Bollywood** and become **mature** in real life!,NAG,NGEN,0
C4.2120.2,"Sahi kaha 😂🤣  
Logic level ---- Bollywood",NAG,NGEN,0
C38.482,its not good i think its all dimaghi keeda being a gay or lesbian..,NAG,GEN,0
C4.1274,giving the movie review of super 30?,NAG,NGEN,0
C9.159,"Saurabh Dwivedi sir, i appreciate you for maintaining neutral view of point.
As for now, we have two media one modi loving and 2nd is modi hating. But you
are neutral",NAG,NGEN,0
C10.155,"Why can't the Indian government take serious actions to those who talk against
the nation or anyone who involved in instigating any sort of violence or
disturbing the peace of the nation. Freedom of speech doesn't allow anyone to
go anti-national. This bitch (Arundhati Roy) has already given such statements
that are anti-national on numerous occasions but she is still living freely.
It's high time for the government to pass a law against these bastards, it
doesn't matter who you are.",NAG,GEN,0
C4.1106.1,Exactly. That was 100000000000x better than shitty kabir singh.,NAG,NGEN,0
C4.1751,Chhichhore review,NAG,NGEN,0
C63.205.2,@mohammad ismail xc,NAG,NGEN,0
C4.2144.2,Like Baahubali.,NAG,NGEN,0
C7.2578,"will blockbuster Kabir singh..  
Yes : Like  
No : Comment  
  
all the best shahid ji😍👇👇  
From Rebal star prabhas Fans",NAG,NGEN,0
C4.1394,"Full support 💪🙌 bro  
Keep it up 👍",NAG,NGEN,0
